Flow Rate Influent (m3/d),Date,Total Coliform Influent (MPN/100mL),Total Coliform Effluent (MPN/100mL),Fecal Coliform Influent (MPN/100mL),Fecal Coliform Effluent (MPN/100mL),"BOD Influent 
(ppm)","BOD Pre-chlorination
(ppm)",COD Influent (ppm),"COD Pre-chlorination
(ppm)",TSS Pre-chlorination (ppm),pH Pre-chlorination,"Residual chlorine
(ppm)",Chlorine Dosage (L/d)
15090,7/3/2015,,1,,,,5,,15,4,7.01,0.171,
9072,7/7/2015,,1,,,,5,,27,3,6.89,2.587,
5980,7/10/2015,1.7E+06,2,,,14,1,20,10,5,6.70,,
18291,7/15/2015,,1,,,,9,,21,5,7.07,1.639,
7591,7/21/2015,,1,,,,4,,25,1,6.61,0.150,
8793,8/6/2015,9.2E+06,5,,,102,3,141,10,6,6.60,,
16893,8/7/2015,,1,,,,6,,15,1,6.94,1.042,
15181,8/10/2015,3.3E+07,10,,,73,5,131,18,1,7.15,0.120,
12550,8/18/2015,7.5E+06,1,,,111,9,295,10,6,7.19,1.454,
15051,8/26/2015,3.1E+08,1,,,110,4,136,8,2,7.35,1.244,
11094,9/3/2015,2.4E+06,13,,,51,1,142,2,6,7.20,,
11752,9/9/2015,1.0E+06,1,,,38,9,116,12,6,6.94,0.501,
8125,9/16/2015,4.9E+07,10,,,202,5,243,17,3,6.97,0.987,
15733,9/28/2015,2.1E+07,1,,,84,10,476,13,6,7.21,0.442,
11369,10/1/2015,2.4E+07,2,,,237,5,257,12,13,7.00,,
11369,10/1/2015,2.7E+07,1,,,58,8,100,22,1,7.06,1.939,
9767,10/7/2015,1.1E+07,52,,,66,11,108,13,7,7.03,0.381,
9398,10/19/2015,1.0E+06,1,,,154,14,192,18,6,7.04,1.147,
15362,10/23/2015,3.1E+07,10,,,107,2,181,26,3,6.94,2.061,
17802,10/27/2015,4.5E+06,1,,,71,4,231,13,11,6.99,0.521,
17307,11/4/2015,1.5E+08,10,,,147,6,292,28,17,6.68,0.580,
14376,11/5/2015,3.5E+06,2,,,18,1,157,16,4,6.70,,
14714,11/12/2015,7.8E+08,1,,,151,10,232,26,6,6.74,0.140,
16137,11/18/2015,3.6E+07,1,,,64,3,305,18,8,7.07,0.502,
16055,11/23/2015,2.8E+07,1,,,121,1,267,49,43,7.05,0.356,
16159,12/2/2015,1.1E+08,10,,,111,5,294,40,20,7.12,0.748,
16492,12/3/2015,9.2E+06,2,,,96,1,166,28,3,6.80,,
14979,12/8/2015,3.6E+07,1,,,146,4,296,29,10,6.96,0.398,
8080,12/14/2015,1.5E+07,1,,,155,4,280,17,1,7.27,0.859,
15859,12/23/2015,3.7E+07,15531,,,285,6,424,6,1,6.96,0.062,
18011,1/6/2016,4.0E+07,1,,,56,6,130,29,1,6.77,0.206,
18011,1/7/2016,1.6E+07,2,,,81,1,145,14,3,6.50,,
15974,1/15/2016,2.2E+07,1,,,72,14,197,106,58,6.92,0.978,
14815,1/20/2016,6.3E+06,1106,,,138,4,275,8,18,7.35,0.508,
15738,1/25/2016,7.0E+07,11199,,,456,4,573,37,11,7.06,0.042,
12912,2/5/2016,4.1E+08,1,,,169,8,280,17,4,7.03,0.351,
11101,2/11/2016,9.2E+06,2,,,70,1,211,5,3,7.20,,
12065,2/12/2016,2.5E+08,1,,,221,1,438,18,6,7.24,0.315,
13209,2/17/2016,1.7E+08,1,,,83,3,257,23,10,7.04,2.004,
13608,2/23/2016,1.4E+08,10,,,208,3,369,265,190,7.26,0.787,
9981,3/2/2016,9.1E+07,10,,,186,10,318,21,4,7.01,0.549,
1993,3/3/2016,1.6E+07,2,,,54,7,168,13,8,7.70,,
5783,3/8/2016,1.6E+08,20,,,72,5,264,31,15,7.06,0.432,
5984,3/29/2016,2.0E+08,1,,,27,2,207,16,22,7.38,0.068,
3144,4/4/2016,4.9E+06,9200,,,150,2,260,8,6,7.60,,
3144,4/4/2016,5.9E+07,10,,,43,5,114,32,7,7.29,0.314,
9081,4/14/2016,3.7E+07,1,,,87,6,194,19,4,7.10,1.682,
8483,4/19/2016,1.7E+08,1,,,136,1,268,10,3,6.87,0.351,
8019,4/25/2016,5.0E+07,1,,,55,5,211,10,8,7.02,0.618,
1229,5/12/2016,7.9E+06,2,,,47,5,88,15,3,7.70,,
3984,5/19/2016,1.7E+08,1,,,26,2,99,10,8,7.55,0.725,
10785,5/25/2016,2.4E+08,24196,,,35,28,74,33,11,7.07,0.057,
7652,6/8/2016,4.6E+08,95,,,47,2,96,10,10,7.18,0.585,
5193,6/16/2016,2.4E+09,1,,,94,8,195,18,7,7.37,1.714,
4848,6/17/2016,1.1E+07,49,,,28,3,42,10,4,7.60,,
8033,6/27/2016,2.3E+07,1,,,79,18,139,24,5,7.31,1.660,
13490,7/5/2016,2.1E+07,1,,,93,11,129,12,15,7.17,1.207,
10795,7/7/2016,1.3E+07,79,,,46,11,87,29,4,7.20,,
6193,7/11/2016,2.1E+07,1,,,29,7,41,34,16,7.48,0.317,
8778,7/19/2016,2.3E+07,20,,,198,7,248,16,12,7.09,1.174,
14314,7/26/2016,2.3E+07,1,,,256,31,307,34,9,7.08,1.067,
4917,8/5/2016,1.7E+06,79,,,28,8,64,15,2,8.00,,
1722,8/9/2016,3.1E+06,1,,,27,12,24,17,32,7.82,1.262,
7530,8/23/2016,3.1E+06,64,,,35,21,42,25,1,6.80,0.697,
5111,8/31/2016,1.5E+07,2419,,,86,17,108,20,8,6.96,0.180,
3550,9/20/2016,2.3E+07,20,,,111,2,214,51,10,7.59,0.440,
4929,9/21/2016,3.5E+07,1600,,,32,9,76,22,5,7.90,,
10610,9/26/2016,2.9E+07,435,,,142,7,163,31,4,7.40,0.547,
9242,10/19/2016,2.3E+07,148,,,76,1,198,18,2,7.50,0.121,
12241,10/26/2016,7.9E+06,2,,,70,1,160,5,2,7.20,,
2817,11/2/2016,4.3E+07,10,,,341,2,1238,10,10,7.06,3.564,
12070,11/10/2016,2.4E+07,2,,,47,1,98,5,4,7.90,,
3820,11/15/2016,2.6E+08,1,,,110,1,302,8,1,7.51,2.695,
13635,11/29/2016,4.7E+07,1,,,143,6,442,18,3,7.14,2.013,
12829,12/1/2016,2.6E+07,1,,,144,4,262,16,5,7.09,0.950,
2216,12/8/2016,1.7E+07,2,,,117,1,239,5,5,7.80,,
4336,12/15/2016,1.5E+08,4,,,108,2,201,19,38,7.18,1.694,
12198,12/29/2016,1.3E+07,10,,,89,3,213,14,3,7.03,0.868,
11884,1/3/2017,4.6E+07,2,,,115,6,294,19,20,6.66,1.306,
12535,1/18/2017,2.9E+07,1,,,185,1,330,3,7,7.23,5.000,
10143,1/20/2017,5.4E+07,2,2.40E+07,2,139,14,171,39,4,7.30,,
13052,1/25/2017,2.1E+07,103,,,153,9,336,27,14,7.12,1.352,
1613,2/1/2017,1.3E+07,20,,,77,4,202,9,7,7.10,5.293,
6699,2/16/2017,5.4E+07,3500,2.40E+07,2400,80,10,143,27,14,7.50,,
6699,2/16/2017,8.5E+06,10,,,190,8,228,12,9,6.82,5.271,
2249,2/20/2017,2.9E+06,10,,,114,2,143,15,7,6.76,4.748,
8981,3/15/2017,1.3E+07,10,,,172,7,215,15,10,7.42,2.165,
9164,3/17/2017,5.4E+07,79,2.40E+07,33,22,1,69,5,8,7.40,,
10294,3/27/2017,2.3E+07,10,,,108,1,248,26,1,7.08,0.765,
10134,3/31/2017,6.7E+06,10,,,102,1,156,24,6,7.07,5.000,
4045,4/7/2017,5.4E+07,79,3.50E+07,33,37,13,113,36,5,7.10,,
3079,4/19/2017,2.8E+07,10,,,110,2,356,12,6,7.25,5.000,
6855,4/25/2017,1.5E+08,10,,,56,4,112,14,13,7.20,5.000,
3642,5/5/2017,9.2E+07,2,3.50E+07,2,34,3,58,13,15,6.70,,
6056,5/8/2017,1.9E+07,10,,,151,16,236,33,13,7.29,5.000,
7266,5/31/2017,7.7E+07,10,,,55,2,58,12,9,6.93,0.304,
7007,6/1/2017,9.2E+07,13,5.40E+07,8,23,4,32,7,7,6.90,,
4160,6/16/2017,,10,,,66,11,124,17,5,7.25,4.177,
4946,6/21/2017,,10,,,15,5,93,9,15,7.16,0.243,
4089,6/28/2017,,10,,,50,6,133,7,2,8.20,1.709,
5909,7/6/2017,5.4E+07,2,3.50E+07,2,34,6,42,10,7,7.40,,
3448,7/21/2017,1.3E+08,10,,10,98,10,187,12,8,6.69,5.000,
2070,8/10/2017,3.5E+07,2,2.40E+07,2,49,1,71,5,6,7.80,,
2009,8/14/2017,1.7E+08,10,,10,56,6,147,37,3,7.97,5.000,
7236,8/17/2017,1.7E+07,10,,10,37,5,118,20,3,7.70,5.000,
12676,9/5/2017,1.7E+08,10,,10,68,8,167,20,3,7.26,5.000,
9582,9/7/2017,5.4E+07,2,3.50E+07,2,39,1,66,5,2,7.60,,
12095,9/11/2017,6.8E+07,10,,10,109,10,137,12,1,7.25,0.723,
9268,9/25/2017,3.8E+07,10,,10,78,22,248,28,1,6.82,5.000,
11660,10/5/2017,9.2E+06,2,5.40E+06,2,25,10,49,24,8,7.20,,
13161,10/11/2017,4.7E+07,1100,,880,99,10,150,14,3,6.99,0.244,
14372,10/16/2017,6.1E+07,10,,10,63,6,179,9,1,6.77,5.000,
7765,10/23/2017,5.7E+07,20,,10,349,15,419,18,7,6.67,5.000,
8818,11/2/2017,5.4E+07,2,2.40E+07,2,7,1,14,5,4,7.20,,
7773,11/15/2017,1.1E+07,10,,10,168,18,202,28,1,7.24,5.000,
12768,11/24/2017,4.7E+07,10,,10,132,14,157,17,5,6.73,5.000,
14456,11/28/2017,4.7E+06,10,,10,198,16,238,18,8,6.61,5.000,
16171,12/7/2017,4.9E+06,2,2.30E+06,2,18,9,30,19,3,7.30,,
10154,12/15/2017,6.1E+08,41,,30,229,18,226,22,5,7.01,5.000,
14107,12/27/2017,6.1E+08,10,,10,196,17,160,20,5,6.97,1.220,
9332,1/11/2018,1.7E+06,2,1.30E+07,2,84,2,141,26,10,7.10,,
9332,1/11/2018,3.3E+07,10,2.88E+07,10,105,5,294,15,4,6.70,5.000,
10297,1/18/2018,1.2E+09,10,3.27E+07,10,74,5,219,13,5,7.49,5.000,
14956,2/8/2018,4.9E+05,2,3.30E+05,2,67,6,142,46,9,7.30,,
14956,2/8/2018,6.7E+07,10,2.72E+07,,119,15,164,17,7,7.17,5.000,
14166,2/14/2018,1.4E+08,10,2.00E+07,10,77,8,166,17,3,6.67,5.000,
14231,2/22/2018,3.2E+08,10,2.13E+07,10,81,8,184,12,2,6.85,5.000,
15697,3/1/2018,1.1E+08,10,1.08E+07,10,103,8,173,22,3,7.02,5.000,
9899,3/8/2018,1.6E+07,350,5.40E+06,240,165,6,250,15,3,7.00,,
14822,3/12/2018,5.2E+07,10,3.45E+07,10,91,7,184,16,3,6.70,2.400,
14859,3/22/2018,4.1E+07,10,2.99E+07,10,128,9,135,9,3,6.90,5.000,
10005,4/5/2018,1.6E+08,920,5.40E+07,350,66,8,113,16,8,7.10,,
8930,4/11/2018,4.9E+08,10,4.20E+07,10,75,12,116,33,11,6.70,4.480,
10852,4/18/2018,1.3E+07,10,5.20E+06,10,243,18,254,20,4,6.84,2.960,
11771,4/27/2018,1.3E+08,10,5.38E+07,10,109,15,115,18,1,6.66,3.630,
12264,5/10/2018,2.1E+08,691,2.10E+08,41,100,7,229,9,3,6.50,2.452,
4483,5/15/2018,2.9E+07,10,7.50E+06,10,93,10,142,24,1,7.08,5.000,
13485,5/23/2018,3.5E+06,920,2.40E+06,540,25,1,42,5,6,7.30,,
11765,5/29/2018,3.1E+07,10,1.20E+07,10,326,10,408,32,5,6.66,5.000,
11165,5/31/2018,5.4E+07,2,3.50E+07,2,28,4,99,64,7,7.20,,
7216,6/13/2018,2.7E+07,10,1.08E+07,10,38,6,87,25,3,6.79,4.100,
15007,6/22/2018,1.6E+07,2,9.20E+06,2,25,4,84,17,4,7.20,,
15007,6/22/2018,4.3E+07,10,2.30E+07,10,83,4,117,21,1,7.26,3.400,
15287,6/27/2018,2.9E+07,10,1.60E+07,10,39,2,92,18,4,7.10,4.830,
9981,7/11/2018,5.6E+07,10,3.50E+07,10,38,5,49,5,4,7.26,3.580,
7990,7/19/2018,3.0E+07,10,2.40E+07,10,51,4,109,5,4,7.28,4.330,
15499,7/25/2018,2.3E+07,23,1.30E+07,8,37,2,73,9,4,7.07,,
15499,7/25/2018,7.9E+06,23000000,1.70E+06,7900000,25,59,17,22,25,7.45,,
15167,7/26/2018,1.3E+07,10,1.20E+07,10,73,9,132,11,2,6.92,0.670,
7270,8/3/2018,2.0E+07,10,1.30E+07,10,26,7,59,48,4,7.10,5.000,
15396,8/15/2018,1.5E+07,10,1.20E+07,10,58,6,104,6,1,6.98,0.030,
14447,8/23/2018,1.3E+07,5,7.90E+06,5,57,2,66,6,4,7.25,,
6253,8/30/2018,6.0E+07,97,9.09E+07,95,155,7,441,35,1,7.05,0.010,
12692,9/5/2018,2.3E+07,2,4.90E+06,2,25,2,32,6,14,7.36,,
2431,9/12/2018,2.9E+08,10,2.20E+08,10,96,7,247,12,1,6.92,,
2431,9/12/2018,2.9E+08,10,2.20E+08,10,96,7,247,12,1,6.92,3.000,
9733,9/27/2018,1.8E+07,10,1.60E+07,10,24,1,27,8,1,6.96,4.480,
17590,10/12/2018,2.0E+07,245,1.50E+07,10,52,3,207,33,6,6.77,0.890,
13271,10/18/2018,1.2E+07,13,1.20E+07,13,94,2,109,10,10,7.14,,
15703,10/22/2018,1.1E+07,10,9.80E+06,10,78,9,407,16,3,6.88,5.000,
11999,10/31/2018,8.3E+07,86,8.40E+06,10,12,5,62,5,5,6.74,1.426,
15339,11/14/2018,1.6E+07,10,6.30E+06,10,110,10,134,28,4,6.85,0.320,
14891,11/19/2018,2.3E+06,7,2.30E+06,2,97,2,54,12,3,7.12,,
14549,11/20/2018,1.1E+07,5028,8.50E+06,2247,80,5,134,15,3,6.78,0.393,
12767,11/27/2018,1.2E+07,418,1.10E+07,10,92,3,138,22,4,6.53,0.010,
14653,12/6/2018,4.4E+07,10,3.20E+07,10,96,6,189,19,2,6.64,0.696,
14653,12/6/2018,1.7E+07,22,7.90E+06,17,82,2,122,21,15,6.93,,
14782,12/10/2018,2.0E+07,15531,1.30E+07,6867,85,4,297,26,1,6.77,0.324,
15599,12/17/2018,1.6E+07,10,1.10E+07,10,51,3,284,5,2,6.70,5.000,
15208,1/2/2019,7.9E+06,2,4.90E+06,2,48,2,62,16,2,6.90,,205
13958,1/4/2019,1.4E+07,10,2.00E+06,10,65,9,188,19,1,6.71,1.971,200
10493,1/17/2019,,,,,,,189,,2,6.99,0.275,200
13694,1/22/2019,2.3E+07,23,3.30E+06,23,87,2,145,22,5,7.05,,286
12058,1/24/2019,,5475,,1296,,,285,,3,6.63,3.276,230
12834,1/29/2019,2.3E+07,2,1.30E+07,2,78,2,80,5,1,6.90,,204
13264,1/30/2019,,10,,10,,,212,,1,6.52,4.039,210
14162,2/7/2019,2.5E+07,10,2.00E+07,10,69,3,206,16,3,6.88,2.170,150
14162,2/7/2019,3.3E+06,2,3.30E+06,2,79,2,80,20,1,6.94,,150
11371,2/14/2019,,10,,10,,,244,,4,6.99,2.820,200
5272,2/19/2019,,10,,10,,,231,,2,6.85,4.800,90
12720,2/26/2019,,10,,10,,,174,,1,6.92,3.576,117
13112,3/5/2019,1.3E+07,9,7.90E+06,2,62,2,138,8,8,6.91,,146
14252,3/6/2019,,10,,10,,,252,,1,6.96,5.000,146
13403,3/12/2019,1.7E+07,10,1.60E+07,10,93,5,395,24,2,7.29,3.975,204
13403,3/12/2019,3.3E+07,2,3.30E+07,2,60,2,130,22,1,7.03,,204
10621,3/21/2019,,10,,10,,,106,,2,7.33,0.968,150
14746,3/26/2019,,10,,10,,,354,,3,6.55,5.000,840
14746,3/26/2019,1.7E+07,2,1.70E+07,2,59,2,225,53,1,7.14,,840
14400,4/2/2019,2.3E+07,2,2.30E+07,2,53,2,124,26,3,7.04,,205
12120,4/4/2019,,10,,10,,,157,,1,7.71,5.000,70
8640,4/10/2019,1.4E+08,10,4.20E+07,10,78,8,181,8,1,7.15,2.805,117
8640,4/10/2019,4.9E+07,2,4.90E+06,2,76,2,38,11,1,7.01,,117
172,4/26/2019,2.3E+07,22030,1.20E+07,15531,,,140,43,13,6.25,5.000,3
938,4/29/2019,,10462,,3784,,,,,18,6.54,0.299,3
10343,5/21/2019,4.5E+07,140,1.80E+07,41,67,10,109,9,2,7.07,2.470,410
10973,5/23/2019,7.9E+06,2,7.90E+06,2,35,2,66,7,4,7.39,,102
13561,5/27/2019,,10,,10,,,60,68,3,6.82,2.468,100
14631,5/28/2019,2.3E+07,2,4.90E+06,2,37,2,69,7,1,7.29,,100
9648,6/6/2019,3.3E+07,23,1.70E+07,23,58,2,99,6,4,7.30,,205
11917,6/10/2019,2.1E+07,10,7.00E+06,10,99,7,203,26,2,6.79,1.609,90
11738,6/11/2019,7.9E+06,2,4.90E+06,2,30,2,90,19,1,7.45,,90
11061,6/18/2019,,10,,10,,,186,,1,7.24,5.140,573
11061,6/18/2019,3.3E+07,5,1.30E+07,2,60,2,106,8,1,7.32,,573
6283,6/24/2019,,10,,10,,,111,,2,6.96,5.000,315
14880,7/8/2019,3.1E+07,10,2.50E+07,10,158,8,297,25,1,6.97,5.000,102
12151,7/9/2019,4.6E+07,2,1.30E+07,2,59,2,112,12,1,7.48,,102
14881,7/15/2019,,10,,10,,,159,,2,7.23,2.860,102
14880,7/16/2019,1.7E+07,49,7.90E+06,8,60,2,123,21,9,7.26,,102
6889,7/22/2019,,10,,10,,,110,,2,6.84,5.339,140
7354,7/23/2019,7.9E+07,2,7.90E+06,2,58,2,96,22,1,8.28,,471
12768,7/29/2019,,10,,10,,,46,,2,7.09,4.352,102
11906,7/30/2019,7.0E+06,2,3.30E+06,2,39,2,13,7,1,7.81,,102
7623,8/5/2019,,41,,20,,,40,,2,6.85,2.851,102
8239,8/7/2019,4.9E+06,17,4.90E+06,8,26,2,52,10,1,8.17,,102
14691,8/12/2019,6.8E+07,10,2.60E+07,10,54,3,248,20,3,7.00,4.772,102
14881,8/14/2019,4.9E+06,2,3.30E+06,2,45,2,74,12,1,8.65,,136
14295,8/20/2019,,2247,,988,,,109,,2,7.27,0.852,136
14295,8/20/2019,1.3E+07,33,1.30E+07,5,50,2,35,19,1,7.44,,136
14092,8/29/2019,,10,,10,,,86,,4,7.16,4.824,112
12101,9/2/2019,,107,,52,,,124,,1,6.95,1.419,409
8359,9/3/2019,2.2E+07,2,3.30E+06,2,15,2,76,15,1,7.52,,90
9316,9/9/2019,4.0E+07,10,3.00E+07,10,82,1,135,9,1,7.21,5.000,90
14358,9/10/2019,4.9E+07,22,7.00E+06,5,37,2,50,13,1,7.64,,90
1725,9/16/2019,,10,,10,,,42,,2,6.94,5.000,102
7360,9/18/2019,1.3E+07,23,7.90E+06,8,20,2,56,24,2,7.72,,102
11586,9/23/2019,,10,,10,,,121,,3,7.19,4.899,102
14639,9/25/2019,1.3E+07,13,7.90E+06,2,26,2,45,15,1,7.50,,102
14880,9/30/2019,,10,,10,,,109,,1,7.05,4.905,100
8911,10/2/2019,4.9E+06,2,3.30E+06,2,17,2,23,13,1,7.41,,100
14881,10/7/2019,2.6E+07,10,6.30E+06,10,60,3,145,12,1,7.48,5.000,100
14848,10/10/2019,2.3E+07,2,7.90E+06,2,58,2,100,5,1,7.37,,100
8191,10/16/2019,7.9E+06,8,4.90E+06,5,54,2,62,18,1,7.26,,50
2953,10/21/2019,,10,,10,,,175,,1,7.31,5.000,110
10856,10/24/2019,3.3E+07,5,3.30E+07,2,60,2,71,13,2,7.21,,109
2956,11/6/2019,,10,,10,,,65,,1,6.89,5.000,109
13619,11/11/2019,4.7E+07,31,2.30E+07,31,89,11,131,93,1,7.26,3.840,102
8974,11/28/2019,,10,,10,,,105,,1,7.10,5.000,126
2222,12/4/2019,,10,,10,,,56,,1,6.76,5.000,80
7682,12/9/2019,,24196,,24196,,,115,,1,6.79,0.010,116
7567,12/19/2019,3.0E+07,10,7.50E+06,10,48,13,100,27,3,6.90,5.380,102
6477,12/23/2019,,15,,10,,,80,,3,6.80,0.740,80
7362,1/4/2020,,10,,10,,,235,,2,6.42,2.585,50
6322,1/10/2020,,10,,10,,,57,,,6.97,4.850,90
13458,1/18/2020,3.1E+07,9804,1.70E+07,1723,112,8,112,8,4,6.95,0.270,220
9222,1/22/2020,,10,,10,,,98,,1,6.90,3.856,220
8232,7/13/2020,1.7E+09,132,9.80E+08,42,57,6,102,17,5,7.02,0.180,130
8907,8/3/2020,2.2E+09,132,5.20E+08,31,30,8,60,22,3,7.19,0.260,184
16308,8/13/2020,,10,,10,,,67,10,1,7.10,0.310,153
15987,8/18/2020,,10,,10,,,60,8,8,7.36,0.760,273
16398,8/25/2020,,8164,,249,,,43,19,4,7.23,0.790,375
16081,9/3/2020,,24196,,24196,,,104,,4,7.29,0.000,261
15606,9/9/2020,1.9E+09,10,5.10E+08,10,51,6,102,21,4,7.31,3.060,273
11815,9/14/2020,,5475,,2359,,,112,,,7.22,0.170,273
7220,9/23/2020,,10,,10,,,78,,2,7.40,4.400,341
14634,9/30/2020,,10,,10,,,88,,2,7.20,5.000,273
16332,10/6/2020,1.0E+10,10,1.70E+09,10,46,8,87,26,2,7.36,5.000,143
3327,10/13/2020,,10,,10,,,36,,2,7.36,5.000,204
9069,10/22/2020,,24196,,4618,,,109,,22,7.09,0.050,209
9030,10/29/2020,,10,,10,,,110,20,6,6.97,1.140,157
8899,11/4/2020,1.9E+09,10,3.10E+08,10,67,8,106,21,3,6.75,5.000,204
9030,11/23/2020,,10,,10,,,178,,7,7.29,2.890,116
9046,12/3/2020,9.5E+08,10,6.30E+08,10,146,7,188,55,5,7.42,1.110,102
4635,12/10/2020,,10,,10,,,149,,3,7.23,1.170,50
8966,12/16/2020,,10,,10,,,162,,2,7.14,0.870,90
8996,12/22/2020,,10,,10,,,229,,3,7.30,0.820,102
6302,12/28/2020,,10,,10,,,100,,3,7.23,1.850,80
8040,1/8/2021,3.1E+09,10,1.50E+09,10,121,8,187,20,1,7.07,5.000,102
8040,1/15/2021,,187,,63,,,187,,1,7.04,5.000,102
8040,1/18/2021,,10,,10,,,177,,3,7.11,1.880,102
8040,1/29/2021,,10,,10,,,137,,1,7.52,5.000,70
7936,2/4/2021,,10,,10,,,178,,1,7.22,2.290,143
8040,2/9/2021,2.6E+09,10,9.80E+08,10,92,6,169,24,4,7.23,5.000,143
6622,2/26/2021,,10,,10,,,198,,9,7.33,5.000,102
8040,3/3/2021,,10,,10,,,218,,4,7.34,5.000,80
8040,3/9/2021,,10,,10,,,155,,26,7.21,0.110,100
